sale_id,date,product_id,customer_id,quantity,unit_price,total_amount
S00161,2023-01-27,P008,C004,10,41.78,417.8
S00162,2023-01-27,P008,C009,6,38.66,231.96
S00163,2023-01-27,P010,C004,3,9.41,28.23
S00164,2023-01-27,P002,C019,1,31.28,31.28
S00165,2023-01-27,P010,C013,7,9.39,65.73
S00166,2023-01-27,P004,C003,10,91.71,917.1
S00167,2023-01-28,P004,C004,5,93.14,465.7
S00168,2023-01-28,P010,C004,10,9.24,92.4
S00169,2023-01-28,P006,C018,7,254.03,1778.21
S00170,2023-01-28,P002,C017,6,28.53,171.18
S00171,2023-01-28,P007,C016,2,496.67,993.34
S00172,2023-01-28,P006,C015,3,248.38,745.14
S00173,2023-01-28,P012,C017,5,202.31,1011.55
S00174,2023-01-28,P015,C018,8,5.97,47.76
S00175,2023-01-29,P010,C009,6,9.31,55.86
S00176,2023-01-29,P014,C003,5,186.86,934.3
S00177,2023-01-29,P004,C015,10,90.98,909.8
S00178,2023-01-29,P007,C011,1,499.71,499.71
S00179,2023-01-29,P006,C006,8,242.79,1942.32
S00180,2023-01-29,P013,C009,6,146.69,880.14
S00181,2023-01-29,P010,C009,9,8.55,76.95
S00182,2023-01-29,P004,C003,4,91.97,367.88
S00183,2023-01-30,P009,C008,8,13.18,105.44
S00184,2023-01-30,P008,C015,1,38.36,38.36
S00185,2023-01-30,P004,C013,4,88.25,353.0
S00186,2023-01-30,P010,C012,8,9.04,72.32
S00187,2023-01-30,P006,C014,9,245.76,2211.84
S00188,2023-01-30,P012,C015,5,196.12,980.6
S00189,2023-01-31,P002,C007,6,28.85,173.1
S00190,2023-01-31,P009,C006,4,12.62,50.48
S00191,2023-01-31,P008,C009,10,41.9,419.0
S00192,2023-01-31,P009,C020,5,13.61,68.05
S00193,2023-02-01,P005,C008,6,338.77,2032.62
S00194,2023-02-01,P001,C018,3,1270.65,3811.95
S00195,2023-02-01,P001,C018,5,1325.65,6628.25
S00196,2023-02-01,P003,C016,2,51.85,103.7
S00197,2023-02-02,P005,C016,8,347.91,2783.28
S00198,2023-02-02,P003,C002,5,52.19,260.95
S00199,2023-02-02,P008,C004,2,39.59,79.18
S00200,2023-02-02,P002,C019,1,28.95,28.95
S00201,2023-02-02,P013,C019,5,143.77,718.85
S00202,2023-02-02,P004,C004,9,92.37,831.33
S00203,2023-02-02,P010,C020,10,8.74,87.4
S00204,2023-02-03,P007,C015,8,489.86,3918.88
S00205,2023-02-03,P010,C014,5,9.05,45.25
S00206,2023-02-03,P001,C020,2,1358.18,2716.36
S00207,2023-02-03,P004,C007,5,91.43,457.15
S00208,2023-02-03,P003,C008,3,50.25,150.75
S00209,2023-02-03,P003,C001,7,49.74,348.18
S00210,2023-02-03,P010,C016,5,8.57,42.85
S00211,2023-02-04,P012,C010,8,191.41,1531.28
S00212,2023-02-04,P004,C009,10,91.44,914.4
S00213,2023-02-04,P015,C007,7,5.76,40.32
S00214,2023-02-04,P004,C005,5,92.93,464.65
S00215,2023-02-04,P002,C002,3,30.87,92.61
S00216,2023-02-05,P012,C019,5,198.77,993.85
S00217,2023-02-05,P008,C010,7,41.76,292.32
S00218,2023-02-05,P009,C018,8,12.91,103.28
S00219,2023-02-05,P010,C002,7,9.2,64.4
S00220,2023-02-05,P010,C009,1,8.62,8.62
S00221,2023-02-05,P011,C019,10,83.6,836.0
S00222,2023-02-05,P013,C009,10,143.09,1430.9
S00223,2023-02-06,P008,C017,8,41.65,333.2
S00224,2023-02-06,P003,C019,7,50.66,354.62
S00225,2023-02-06,P008,C003,8,39.38,315.04
S00226,2023-02-06,P006,C011,2,258.93,517.86
S00227,2023-02-07,P007,C016,5,508.12,2540.6
S00228,2023-02-07,P007,C018,1,497.73,497.73
S00229,2023-02-07,P006,C009,6,240.39,1442.34
S00230,2023-02-07,P013,C013,9,154.86,1393.74
S00231,2023-02-07,P001,C018,8,1288.71,10309.68
S00232,2023-02-08,P009,C012,10,13.32,133.2
S00233,2023-02-08,P011,C015,1,77.62,77.62
S00234,2023-02-08,P009,C005,5,12.91,64.55
S00235,2023-02-08,P012,C016,2,190.57,381.14
S00236,2023-02-09,P010,C008,3,8.82,26.46
S00237,2023-02-09,P001,C018,7,1247.11,8729.77
S00238,2023-02-09,P014,C004,8,188.04,1504.32
S00239,2023-02-09,P011,C005,8,83.45,667.6
S00240,2023-02-09,P005,C017,5,347.03,1735.15
S00241,2023-02-09,P008,C016,4,39.82,159.28
S00242,2023-02-09,P003,C013,4,52.1,208.4
S00243,2023-02-09,P009,C005,2,12.7,25.4
S00244,2023-02-10,P006,C017,5,258.0,1290.0
S00245,2023-02-10,P005,C010,10,352.79,3527.9
S00246,2023-02-10,P011,C016,3,79.56,238.68
S00247,2023-02-10,P008,C012,6,40.2,241.2
S00248,2023-02-10,P009,C013,8,13.55,108.4
S00249,2023-02-10,P014,C007,4,181.28,725.12
S00250,2023-02-11,P014,C014,1,176.72,176.72
S00251,2023-02-11,P008,C013,7,41.94,293.58
S00252,2023-02-11,P013,C005,8,156.96,1255.68
S00253,2023-02-11,P003,C017,10,49.15,491.5
S00254,2023-02-12,P014,C015,2,180.46,360.92
S00255,2023-02-12,P008,C001,3,39.63,118.89
S00256,2023-02-12,P011,C005,2,79.75,159.5
S00257,2023-02-13,P006,C020,7,253.74,1776.18
S00258,2023-02-13,P014,C011,9,177.83,1600.47
S00259,2023-02-13,P006,C016,9,238.39,2145.51
S00260,2023-02-13,P002,C008,5,31.48,157.4
S00261,2023-02-13,P012,C003,7,209.56,1466.92
S00262,2023-02-14,P012,C004,8,193.32,1546.56
S00263,2023-02-14,P005,C001,1,343.84,343.84
S00264,2023-02-14,P001,C010,6,1283.72,7702.32
S00265,2023-02-14,P003,C008,9,49.55,445.95
S00266,2023-02-14,P011,C006,3,77.39,232.17
S00267,2023-02-14,P010,C013,10,9.15,91.5
S00268,2023-02-14,P008,C019,3,38.92,116.76
S00269,2023-02-14,P011,C009,8,78.03,624.24
S00270,2023-02-15,P015,C015,5,6.1,30.5
S00271,2023-02-15,P003,C003,8,52.22,417.76
S00272,2023-02-15,P010,C010,7,9.16,64.12
S00273,2023-02-16,P014,C010,4,188.98,755.92
S00274,2023-02-16,P014,C016,2,175.26,350.52
S00275,2023-02-16,P010,C012,10,8.81,88.1
S00276,2023-02-16,P012,C010,1,209.55,209.55
S00277,2023-02-16,P011,C013,5,76.06,380.3
S00278,2023-02-16,P014,C002,10,184.4,1844.0
S00279,2023-02-17,P013,C008,10,154.52,1545.2
S00280,2023-02-17,P004,C007,10,87.75,877.5
S00281,2023-02-17,P013,C005,2,156.04,312.08
S00282,2023-02-17,P011,C002,5,82.3,411.5
S00283,2023-02-17,P001,C019,6,1330.2,7981.2
S00284,2023-02-18,P015,C010,6,6.14,36.84
S00285,2023-02-18,P003,C007,3,51.42,154.26
S00286,2023-02-18,P015,C012,9,5.99,53.91
S00287,2023-02-19,P014,C006,5,187.44,937.2
S00288,2023-02-19,P008,C010,6,41.21,247.26
S00289,2023-02-19,P008,C003,3,41.01,123.03
S00290,2023-02-19,P004,C013,9,88.78,799.02
S00291,2023-02-19,P013,C013,1,146.46,146.46
S00292,2023-02-20,P008,C012,5,40.33,201.65
S00293,2023-02-20,P014,C012,2,183.14,366.28
S00294,2023-02-20,P008,C001,10,41.53,415.3
S00295,2023-02-21,P006,C020,4,253.68,1014.72
S00296,2023-02-21,P011,C015,5,81.18,405.9
S00297,2023-02-21,P002,C005,1,31.33,31.33
S00298,2023-02-21,P005,C016,2,335.89,671.78
S00299,2023-02-21,P015,C018,3,5.92,17.76
S00300,2023-02-21,P006,C018,7,252.17,1765.19
S00301,2023-02-21,P012,C005,7,203.09,1421.63
S00302,2023-02-22,P010,C014,5,8.57,42.85
S00303,2023-02-22,P006,C007,8,248.61,1988.88
S00304,2023-02-22,P004,C012,2,94.32,188.64
S00305,2023-02-22,P006,C018,6,239.0,1434.0
S00306,2023-02-22,P005,C007,2,365.7,731.4
S00307,2023-02-22,P014,C015,2,182.92,365.84
S00308,2023-02-23,P011,C020,1,76.4,76.4
S00309,2023-02-23,P006,C008,3,257.16,771.48
S00310,2023-02-23,P004,C003,9,87.35,786.15
S00311,2023-02-23,P004,C008,6,92.46,554.76
S00312,2023-02-23,P013,C020,1,146.65,146.65
S00313,2023-02-23,P003,C005,9,48.74,438.66
S00314,2023-02-23,P003,C004,1,48.15,48.15
S00315,2023-02-23,P006,C008,10,245.58,2455.8
S00316,2023-02-24,P005,C002,3,358.45,1075.35
S00317,2023-02-24,P009,C004,2,12.96,25.92
S00318,2023-02-24,P013,C012,9,151.39,1362.51
S00319,2023-02-24,P008,C017,4,41.77,167.08
S00320,2023-02-25,P012,C017,5,199.15,995.75
S00321,2023-02-25,P001,C002,8,1345.14,10761.12
S00322,2023-02-25,P007,C004,8,510.61,4084.88
S00323,2023-02-26,P002,C003,6,30.31,181.86
S00324,2023-02-26,P002,C005,5,30.36,151.8
S00325,2023-02-26,P010,C018,6,8.88,53.28
S00326,2023-02-26,P010,C017,5,8.95,44.75
S00327,2023-02-26,P010,C014,2,9.25,18.5
S00328,2023-02-26,P002,C018,4,29.78,119.12
S00329,2023-02-27,P007,C011,8,494.93,3959.44
S00330,2023-02-27,P012,C004,6,198.53,1191.18
S00331,2023-02-27,P011,C009,6,83.62,501.72
S00332,2023-02-27,P011,C016,2,76.72,153.44
S00333,2023-02-28,P002,C014,2,30.72,61.44
S00334,2023-02-28,P006,C005,9,238.99,2150.91
S00335,2023-02-28,P009,C018,6,13.21,79.26
S00336,2023-03-01,P006,C014,1,261.7,261.7
S00337,2023-03-01,P010,C010,6,8.63,51.78
S00338,2023-03-01,P009,C007,3,13.19,39.57
S00339,2023-03-01,P004,C004,6,93.1,558.6
S00340,2023-03-01,P006,C004,5,251.84,1259.2
S00341,2023-03-01,P013,C014,9,157.11,1413.99
S00342,2023-03-02,P010,C018,1,9.09,9.09
S00343,2023-03-02,P011,C009,1,77.43,77.43
S00344,2023-03-02,P012,C010,6,197.01,1182.06
S00345,2023-03-02,P003,C005,10,50.78,507.8
S00346,2023-03-02,P002,C005,1,28.77,28.77
S00347,2023-03-02,P009,C007,7,12.89,90.23
S00348,2023-03-02,P006,C006,6,245.28,1471.68
S00349,2023-03-03,P013,C019,10,143.76,1437.6
S00350,2023-03-03,P001,C005,3,1333.07,3999.21
S00351,2023-03-03,P001,C003,5,1292.59,6462.95
S00352,2023-03-03,P007,C016,10,497.09,4970.9
S00353,2023-03-03,P005,C007,9,336.47,3028.23
S00354,2023-03-04,P002,C010,10,29.95,299.5
S00355,2023-03-04,P011,C010,1,77.75,77.75
S00356,2023-03-04,P010,C002,1,8.72,8.72
S00357,2023-03-04,P004,C005,5,88.1,440.5
S00358,2023-03-04,P002,C001,8,30.73,245.84
S00359,2023-03-04,P003,C005,7,50.15,351.05
S00360,2023-03-05,P009,C018,6,12.43,74.58
S00361,2023-03-05,P014,C002,7,171.33,1199.31
S00362,2023-03-05,P015,C003,6,6.04,36.24
S00363,2023-03-05,P010,C013,7,8.8,61.6
S00364,2023-03-06,P001,C011,3,1339.16,4017.48
S00365,2023-03-06,P010,C015,6,8.62,51.72
S00366,2023-03-06,P014,C004,4,178.83,715.32
S00367,2023-03-06,P007,C017,2,494.78,989.56
S00368,2023-03-06,P005,C011,4,344.15,1376.6
S00369,2023-03-06,P003,C003,9,50.66,455.94
S00370,2023-03-07,P009,C007,6,12.8,76.8
S00371,2023-03-07,P014,C005,4,172.84,691.36
S00372,2023-03-07,P005,C007,3,353.57,1060.71
S00373,2023-03-07,P013,C003,3,156.76,470.28
S00374,2023-03-07,P011,C016,8,82.03,656.24
S00375,2023-03-07,P013,C019,8,152.71,1221.68
S00376,2023-03-07,P015,C019,10,5.88,58.8
S00377,2023-03-08,P006,C005,8,239.2,1913.6
S00378,2023-03-08,P008,C010,5,40.36,201.8
S00379,2023-03-08,P006,C017,2,245.25,490.5
S00380,2023-03-08,P008,C002,1,39.47,39.47
S00381,2023-03-08,P005,C003,2,354.02,708.04
S00382,2023-03-08,P009,C013,8,13.09,104.72
S00383,2023-03-08,P013,C002,8,156.13,1249.04
S00384,2023-03-08,P010,C007,6,9.08,54.48
S00385,2023-03-09,P003,C002,8,48.01,384.08
S00386,2023-03-09,P015,C011,2,5.99,11.98
S00387,2023-03-09,P003,C002,4,51.03,204.12
S00388,2023-03-09,P008,C017,9,40.43,363.87
S00389,2023-03-09,P006,C012,5,247.18,1235.9
S00390,2023-03-09,P013,C011,10,143.28,1432.8
S00391,2023-03-09,P011,C011,2,78.63,157.26
S00392,2023-03-10,P011,C013,5,78.01,390.05
S00393,2023-03-10,P014,C020,3,176.99,530.97
S00394,2023-03-10,P010,C005,6,8.82,52.92
S00395,2023-03-10,P011,C013,3,80.75,242.25
S00396,2023-03-10,P002,C010,9,29.62,266.58
S00397,2023-03-10,P013,C011,3,152.54,457.62
S00398,2023-03-10,P014,C017,2,182.62,365.24
S00399,2023-03-11,P009,C012,1,12.81,12.81
S00400,2023-03-11,P003,C007,6,52.23,313.38
S00401,2023-03-11,P008,C007,4,41.99,167.96
S00402,2023-03-11,P003,C003,5,51.71,258.55
S00403,2023-03-11,P002,C017,9,31.0,279.0
S00404,2023-03-11,P015,C017,1,6.09,6.09
S00405,2023-03-12,P003,C020,7,48.26,337.82
S00406,2023-03-12,P003,C020,3,51.1,153.3
S00407,2023-03-12,P001,C014,6,1322.92,7937.52
S00408,2023-03-12,P004,C015,10,88.05,880.5
S00409,2023-03-12,P012,C015,4,200.67,802.68
S00410,2023-03-12,P005,C016,4,345.36,1381.44
S00411,2023-03-12,P010,C015,8,9.23,73.84
S00412,2023-03-13,P009,C017,7,13.6,95.2
S00413,2023-03-13,P014,C007,10,173.48,1734.8
S00414,2023-03-13,P005,C002,8,363.08,2904.64
S00415,2023-03-13,P009,C004,9,13.45,121.05
S00416,2023-03-13,P005,C003,3,342.04,1026.12
S00417,2023-03-13,P015,C017,3,6.19,18.57
S00418,2023-03-14,P015,C008,8,6.22,49.76
S00419,2023-03-14,P015,C001,7,5.72,40.04
S00420,2023-03-14,P009,C012,4,12.84,51.36
S00421,2023-03-15,P006,C008,1,245.46,245.46
S00422,2023-03-15,P002,C011,3,28.9,86.7
S00423,2023-03-15,P005,C016,3,359.05,1077.15
S00424,2023-03-16,P008,C020,1,41.61,41.61
S00425,2023-03-16,P001,C009,4,1343.53,5374.12
S00426,2023-03-16,P009,C020,9,12.89,116.01
S00427,2023-03-16,P013,C010,4,147.01,588.04
S00428,2023-03-16,P001,C008,7,1318.05,9226.35
S00429,2023-03-16,P010,C015,2,8.64,17.28
S00430,2023-03-17,P010,C018,1,9.11,9.11
S00431,2023-03-17,P010,C008,3,8.8,26.4
S00432,2023-03-17,P001,C020,6,1266.26,7597.56
S00433,2023-03-17,P007,C006,2,501.16,1002.32
S00434,2023-03-17,P006,C003,9,251.09,2259.81
S00435,2023-03-17,P013,C017,9,142.8,1285.2
S00436,2023-03-18,P001,C013,6,1267.96,7607.76
S00437,2023-03-18,P001,C012,2,1279.81,2559.62
S00438,2023-03-18,P012,C004,10,204.69,2046.9
S00439,2023-03-18,P006,C005,1,246.3,246.3
S00440,2023-03-18,P006,C006,8,262.01,2096.08
S00441,2023-03-18,P008,C006,3,38.24,114.72
S00442,2023-03-19,P001,C010,4,1240.69,4962.76
S00443,2023-03-19,P004,C002,6,93.89,563.34
S00444,2023-03-19,P009,C013,9,12.96,116.64
S00445,2023-03-19,P001,C007,5,1281.4,6407.0
S00446,2023-03-19,P013,C002,6,146.59,879.54
S00447,2023-03-19,P013,C012,7,155.83,1090.81
S00448,2023-03-20,P008,C013,6,41.88,251.28
S00449,2023-03-20,P008,C016,6,41.69,250.14
S00450,2023-03-20,P009,C009,2,13.28,26.56
S00451,2023-03-20,P002,C014,10,31.47,314.7
S00452,2023-03-20,P003,C018,5,49.1,245.5
S00453,2023-03-20,P002,C011,5,29.41,147.05
S00454,2023-03-20,P010,C014,3,9.16,27.48
S00455,2023-03-20,P006,C015,1,255.66,255.66
S00456,2023-03-21,P010,C014,5,9.12,45.6
S00457,2023-03-21,P013,C002,2,152.56,305.12
S00458,2023-03-21,P007,C012,9,515.04,4635.36
S00459,2023-03-21,P011,C006,1,77.13,77.13
S00460,2023-03-21,P010,C015,1,8.65,8.65
S00461,2023-03-22,P013,C012,6,148.23,889.38
S00462,2023-03-22,P010,C002,10,8.68,86.8
S00463,2023-03-22,P008,C012,6,39.77,238.62
S00464,2023-03-22,P002,C019,3,30.08,90.24
S00465,2023-03-23,P006,C009,4,261.5,1046.0
S00466,2023-03-23,P001,C006,8,1302.3,10418.4
S00467,2023-03-23,P015,C018,2,5.85,11.7
S00468,2023-03-23,P005,C015,4,367.36,1469.44
S00469,2023-03-23,P005,C016,4,336.78,1347.12
S00470,2023-03-23,P014,C003,8,174.1,1392.8
S00471,2023-03-24,P008,C003,6,40.66,243.96
S00472,2023-03-24,P012,C003,9,200.83,1807.47
S00473,2023-03-24,P015,C010,3,6.12,18.36
S00474,2023-03-24,P015,C006,6,6.0,36.0
S00475,2023-03-24,P002,C007,3,29.2,87.6
S00476,2023-03-24,P008,C001,6,40.21,241.26
S00477,2023-03-24,P006,C015,9,240.73,2166.57
S00478,2023-03-24,P015,C003,2,5.88,11.76
S00479,2023-03-25,P012,C016,9,198.21,1783.89
S00480,2023-03-25,P007,C019,2,481.26,962.52
S00481,2023-03-25,P006,C003,8,249.14,1993.12
S00482,2023-03-25,P009,C012,3,13.48,40.44
S00483,2023-03-25,P013,C018,10,145.22,1452.2
S00484,2023-03-25,P003,C014,9,52.04,468.36
S00485,2023-03-25,P001,C004,9,1254.88,11293.92
S00486,2023-03-25,P003,C006,6,52.16,312.96
S00487,2023-03-26,P006,C017,5,258.64,1293.2
S00488,2023-03-26,P005,C007,9,342.1,3078.9
S00489,2023-03-26,P011,C010,10,80.26,802.6
S00490,2023-03-26,P009,C006,10,13.56,135.6
S00491,2023-03-27,P003,C020,10,49.18,491.8
S00492,2023-03-27,P015,C019,1,6.18,6.18
S00493,2023-03-27,P001,C003,1,1358.3,1358.3
S00494,2023-03-27,P013,C019,5,152.26,761.3
S00495,2023-03-28,P007,C020,1,499.89,499.89
S00496,2023-03-28,P011,C018,5,81.13,405.65
S00497,2023-03-28,P005,C016,4,360.65,1442.6
S00498,2023-03-28,P011,C013,5,79.62,398.1
S00499,2023-03-28,P012,C002,3,198.78,596.34
S00500,2023-03-28,P008,C015,4,39.35,157.4
S00501,2023-03-28,P003,C011,6,51.16,306.96
S00502,2023-03-29,P007,C005,6,500.74,3004.44
S00503,2023-03-29,P002,C011,4,29.89,119.56
S00504,2023-03-29,P005,C015,4,337.42,1349.68
S00505,2023-03-29,P001,C010,7,1347.33,9431.31
S00506,2023-03-29,P007,C008,3,515.66,1546.98
S00507,2023-03-30,P012,C011,4,205.25,821.0
S00508,2023-03-30,P008,C017,8,39.99,319.92
S00509,2023-03-30,P005,C016,1,335.64,335.64
